seed,score,steps,deliveries,delayed_goals,run
1,162,138,6,0,1
2,-122,225,6,0,2
3,46,153,6,0,3
4,68,180,6,0,4
5,145,127,6,0,5
6,-33,175,6,0,6
7,93,166,6,0,7
8,145,116,6,0,8
9,54,154,6,0,9
10,93,164,6,0,10
11,-158,206,6,0,11
12,128,112,6,0,12
13,66,169,6,0,13
14,-109,201,6,0,14
15,135,137,6,0,15
16,-21,174,6,0,16
17,113,154,6,0,17
18,-45,171,6,0,18
19,125,139,6,0,19
20,143,124,6,0,20
21,-137,211,6,0,21
22,-7,151,6,0,22
23,15,171,6,0,23
24,-38,180,6,0,24
25,51,146,6,0,25
26,160,140,6,0,26
27,173,109,6,0,27
28,50,165,6,0,28
29,157,108,6,0,29
30,47,147,6,0,30
31,17,140,6,0,31
32,-29,191,6,0,32
33,94,140,6,0,33
34,-3,175,6,0,34
35,101,134,6,0,35
36,98,166,6,0,36
37,-84,197,6,0,37
38,-8,181,6,0,38
39,-192,197,6,0,39
40,99,142,6,0,40
